british_drivers_KSI,front_seat_KSI,rear_seats_KSI,kilometers_driven,real_price_of_petrol
7.63868,6.82329,6.09357,9.52923,-2.2543
7.64588,6.82437,6.02102,9.43596,-2.12563
7.62608,6.85961,5.99146,9.43891,-2.14028
7.36328,6.49828,5.62762,9.32803,-2.0172
7.21229,6.40853,5.71043,9.31434,-2.03374
7.40974,6.65544,5.9428,9.44438,-2.05324
7.23129,6.45047,5.63121,9.47409,-2.09113
7.32581, 6.6733,6.09131,9.61614,-2.13211
7.25912,6.67203,6.01372,9.63135,-2.15126
7.27379,6.68835,6.03069,9.65194,-2.16142
7.34148,6.78446,6.23637,9.73536,-2.16717
7.41216,6.64509,5.97381,9.60076,-2.17575
7.35308,6.59578,5.84354,9.55421,-2.18988
7.55224,6.75577,5.96871,9.46141,-2.20174
7.69576,6.90174,6.15273,9.46931,-2.16044
7.29506,6.55678,5.5835, 9.4073,-2.17337
7.41156,6.52796, 5.743,9.38581,-2.18614
7.24922,6.50877,5.70378, 9.5117,-2.19146
7.24065,6.46614,5.92158,9.57616,-2.21053
7.33302,6.64769,6.02102,9.67477,-2.22155
7.17702, 6.4677,5.77455,9.65432,-2.22669
7.33041,6.71901,6.12687,9.71372,-2.21563
7.19068, 6.6174,6.05678,9.79395,-2.2296
7.39449,6.64249,5.84644,9.64251,-2.24277
7.46623,6.71538,6.04263,9.58885,-2.24149
7.57968,6.69703,5.84064, 9.4809,-2.25546
 7.7293,6.89366,5.9135,9.41475,-2.26865
7.40732,6.57088,5.67332,9.39033,-2.28819
7.24494,6.34036,5.41165,9.39499,-2.29857
7.25205,6.42325,5.5835,9.54917,-2.31403
7.24637,6.51915,5.82305,9.56409,-2.27793
7.23993,6.60935,5.69709,9.63476,-2.27276
7.32647, 6.7334,5.95584,9.73826,-2.28103
7.33172,6.78897,6.1717,9.76198,-2.30422
7.40428,6.74759,6.1591,9.78098,-2.37907
7.32317,6.65157,5.80513,9.69412,-2.38798
7.42952,6.72263,5.96871,9.61374,-2.39993
 7.6009, 6.7901,5.9135,9.51959,-2.40771
7.70301,6.95273,6.06611,9.53546,-2.41541
7.57866, 6.7901,5.90263, 9.4244,-2.4254
7.28756,6.43935,5.52146,9.35945,-2.42642
7.35436,6.69456,5.87212, 9.6172,-2.44464
7.28551,6.61473,5.71703,9.60468,-2.46516
7.27656,6.62539,5.93754,9.71505,-2.4702
7.39142,6.76273,6.08677,9.734,-2.47181
7.41276,6.88755,6.21461,9.79879,-2.47277
7.40123,6.86589,6.23637,9.84453,-2.4817
7.40428,6.75227,5.95064,9.75516,-2.4839
7.42833,6.68211,5.90263,9.68315,-2.49199
 7.6256,6.84801,6.06843,9.59866,-2.46234
7.724,6.91771,5.96615,9.52705,-2.46781
7.50274, 6.6796,5.72359,9.32331,-2.47149
7.27586,6.46614,5.44674,9.40137,-2.46097
7.47421,6.67708,5.83481,9.59717,-2.43544
7.28688,6.62007,5.79606,9.65387,-2.4037
7.34987, 6.6958,5.97635,9.73288,-2.39928
7.26613,6.57368,5.87212,9.72663,-2.21877
7.26333,6.74641,5.95324,9.76618,-2.17031
7.34859,6.83626,6.13773,9.81787,-2.18043
 7.4055,6.72623,6.11589,9.75202,-2.19534
7.41035,6.63595,5.92158, 9.7356,-2.21525
7.60887,6.77992,5.99396,9.64082,-2.22842
7.69939,6.98193,6.14419,9.62648,-2.22932
7.41758, 6.6174,5.72359,9.54874,-2.26553
7.21597,6.38519,5.57215,9.58039,-2.23386
7.31721,6.57925,5.77765,9.68999,-2.23143
7.21524, 6.4708,5.73657,9.71625,-2.19198
7.28139,6.63988,6.04973,9.80461,-2.20149
7.32778, 6.7093,5.99894,9.77292,-2.19055
7.28619,6.69332,6.00635, 9.8146,-2.20962
 7.3473,6.78559,6.14419,9.87102,-2.22383
7.34472,6.68835,5.9428, 9.7939,-2.24191
7.51043,6.75693,5.9108,9.79099,-2.26151
7.45991,6.71538,5.93489,9.68396,-2.28343
7.57096,6.81454,5.97126,9.66434,-2.27503
7.29573,6.55678,5.64897,9.63076,-2.25608
7.28482,6.53814,5.75574,9.61126,-2.26334
7.34084,6.53379,5.77144,9.73187,-2.14853
7.24708,6.57088,5.88053,9.73234,-2.16142
7.32778,6.70196,5.93489,9.80621,-2.18046
7.23346,6.60123,5.94542,9.77332,-2.17278
7.40306,6.77537,6.07074,9.83387,-2.12764
7.31986,6.72022,6.22654,9.87576,-2.08353
7.42714,6.70686,6.05912,9.79384,-2.09376
7.56941,6.84801,6.1717,9.79339,-2.11463
7.53262,6.66185,5.9135,9.71087,-2.11156
7.45356,6.71296,5.85507, 9.5137,-2.14585
7.28345,6.38856,5.47227, 9.5179,-2.18258
7.27586,6.51175,5.65249,9.65931,-2.22489
7.28345,6.49224,5.78074,9.76181,-2.21789
7.21891,6.51619,5.84644,9.80433,-2.1956
7.30452,6.62672,6.01616, 9.8299,-2.19549
7.35116,6.70319,6.01859,9.83943,-2.15888
7.30519,6.76504,6.20658,9.93634,-2.16484
7.42893,6.83841,6.2804,9.95418,-2.14381
7.374,6.68211,5.98141,9.85183,-2.12799
7.52294,6.85646,6.15273,9.83457,-2.13736
 7.5999,6.71538,5.95324,9.72723,-2.14175
7.63964,6.81454,6.01859, 9.7142,-2.14568
7.30921,6.42811,5.63835,9.69468,-2.18382
6.96319,6.05444,5.70378, 9.6493,-2.17457
7.10497,6.16331,5.76205,9.81509,-2.17909
7.06305,6.32077,5.96871,9.78656,-2.13288
7.11964,6.32615,5.98645,9.86293,-2.13733
6.98101,6.18002,5.82008,9.86068,-2.13973
7.06817,6.37502,6.16752,9.95214,-2.11977
7.03791,6.42162,6.04501,9.93813,-2.12496
7.26333,6.42649,6.20456,9.83943,-2.12963
7.30452,6.49527,6.15486,9.86475,-2.13316
7.30182, 6.2519,5.90808,9.77018,-2.13693
7.32185,6.37161,5.84354,9.71662,-2.13956
7.21303,6.18002,5.69036,9.69425,-2.13897
7.06048,6.07304,5.76519,9.72137,-2.16459
7.15618,6.24028,5.85507,9.82763,-2.15645
7.01212,6.30628,5.92693,9.89136,-2.15973
7.16781,6.37332,6.08905,9.88247,-2.16443
 7.0775,6.25767,6.14204,9.90229,-2.16476
7.10824,6.39859,6.15698,9.97516,-2.16338
7.15774, 6.4677,6.25575,9.98165,-2.16459
7.27517,6.46614,6.06146,9.91319,-2.17074
7.36201,6.46303,6.01127,9.89988,-2.15016
7.45991,6.56667,6.19441,9.82898,-2.15394
7.47477,6.58064,6.19644,9.80637,-2.15359
