t,wpi,t,ln_wpi
1980-04-01,85.6,1980-04-01,4.449685
1980-07-01,88.4,1980-07-01,4.481872
1980-10-01,90.4,1980-10-01,4.5042443
1981-01-01,93.1,1981-01-01,4.5336742
1981-04-01,95.2,1981-04-01,4.5559797
1981-07-01,95.9,1981-07-01,4.563306
1981-10-01,95.8,1981-10-01,4.5622625
1982-01-01,96.6,1982-01-01,4.5705786
1982-04-01,96.7,1982-04-01,4.5716133
1982-07-01,97.1,1982-07-01,4.5757413
1982-10-01,97.2,1982-10-01,4.576771
1983-01-01,97.3,1983-01-01,4.577799
1983-04-01,97.6,1983-04-01,4.5808773
1983-07-01,98.6,1983-07-01,4.591071
1983-10-01,99.1,1983-10-01,4.5961294
1984-01-01,100.2,1984-01-01,4.607168
1984-04-01,100.8,1984-04-01,4.613138
1984-07-01,100.6,1984-07-01,4.611152
1984-10-01,100.3,1984-10-01,4.6081657
1985-01-01,100.1,1985-01-01,4.6061697
1985-04-01,100.2,1985-04-01,4.607168
1985-07-01,99.5,1985-07-01,4.6001577
1985-10-01,100.1,1985-10-01,4.6061697
1986-01-01,98.6,1986-01-01,4.591071
1986-04-01,96.8,1986-04-01,4.572647
1986-07-01,96.3,1986-07-01,4.567468
1986-10-01,96.7,1986-10-01,4.5716133
1987-01-01,97.8,1987-01-01,4.582925
1987-04-01,99.4,1987-04-01,4.599152
1987-07-01,100.5,1987-07-01,4.6101575
1987-10-01,101.0,1987-10-01,4.6151204
1988-01-01,101.6,1988-01-01,4.6210437
1988-04-01,103.2,1988-04-01,4.6366687
1988-07-01,104.7,1988-07-01,4.651099
1988-10-01,105.2,1988-10-01,4.6558633
1989-01-01,107.5,1989-01-01,4.6774907
1989-04-01,109.4,1989-04-01,4.695011
1989-07-01,109.0,1989-07-01,4.691348
1989-10-01,109.4,1989-10-01,4.695011
1990-01-01,111.0,1990-01-01,4.7095304
1990-04-01,110.8,1990-04-01,4.707727
1990-07-01,112.8,1990-07-01,4.7256165
1990-10-01,116.2,1990-10-01,4.755313
